,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
130,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,9.0,177885.0,2.0,1.0,11.6,174.0,41.0,0.0,1.0,0.0,1070.0
131,현대 더 뉴 그랜드스타렉스  2.5 디젤 밴 5인승 스타일,5.0,18888.0,2.0,1.0,9.3,175.0,46.0,0.0,5.0,0.0,1650.0
136,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 럭셔리,12.0,125005.0,2.0,1.0,11.6,174.0,41.0,0.0,4.0,0.0,700.0
138,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스마트,5.0,184639.0,2.0,1.0,9.3,175.0,46.0,0.0,2.0,0.0,1380.0
142,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 디럭스,7.0,169019.0,2.0,1.0,11.6,174.0,41.0,0.0,7.0,0.0,790.0
143,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 럭셔리,14.0,134654.0,2.0,1.0,11.6,174.0,41.0,0.0,8.0,0.0,550.0
147,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,5.0,133806.0,2.0,1.0,9.3,175.0,46.0,0.0,0.0,0.0,1490.0
149,현대 그랜드스타렉스  2.5 디젤 밴 5인승 2WD CVX 럭셔리,9.0,177885.0,2.0,1.0,11.6,174.0,41.0,0.0,1.0,0.0,1070.0
150,현대 더 뉴 그랜드스타렉스  2.5 디젤 밴 5인승 스타일,5.0,18888.0,2.0,1.0,9.3,175.0,46.0,0.0,5.0,0.0,1650.0
155,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 럭셔리,12.0,125005.0,2.0,1.0,11.6,174.0,41.0,0.0,4.0,0.0,700.0
157,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스마트,5.0,184639.0,2.0,1.0,9.3,175.0,46.0,0.0,2.0,0.0,1380.0
161,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 디럭스,7.0,169019.0,2.0,1.0,11.6,174.0,41.0,0.0,7.0,0.0,790.0
162,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 럭셔리,14.0,134654.0,2.0,1.0,11.6,174.0,41.0,0.0,8.0,0.0,550.0
166,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 럭셔리,9.0,71000.0,2.0,1.0,11.6,174.0,41.0,0.0,4.0,0.0,1150.0
167,현대 더 뉴 그랜드스타렉스  2.5 디젤 왜건 12인승 4WD 모던   ,5.0,55000.0,2.0,1.0,8.9,175.0,46.0,1.0,4.0,0.0,2490.0
169,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,2.0,68784.0,2.0,1.0,11.6,174.0,41.0,0.0,0.0,0.0,1160.0
170,현대 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD CVX 디럭스,15.0,85334.0,2.0,1.0,11.5,174.0,41.0,0.0,2.0,0.0,700.0
171,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,10.0,255056.0,2.0,1.0,11.6,174.0,41.0,0.0,3.0,0.0,450.0
172,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,10.0,119951.0,2.0,0.0,11.6,174.0,41.0,0.0,3.0,0.0,630.0
173,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 프리미엄,8.0,166650.0,2.0,1.0,11.6,174.0,41.0,0.0,0.0,0.0,799.0
175,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스마트,3.0,75935.0,2.0,1.0,9.3,175.0,46.0,0.0,5.0,0.0,1750.0
176,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승 스마트,4.0,156925.0,2.0,1.0,9.3,175.0,46.0,0.0,2.0,0.0,1490.0
177,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,3.0,90438.0,2.0,1.0,9.3,175.0,46.0,0.0,1.0,0.0,1870.0
179,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승 모던,4.0,143611.0,2.0,1.0,9.3,175.0,46.0,0.0,3.0,0.0,1550.0
180,현대 더 뉴 그랜드스타렉스 2.5 디젤 왜건 12인승 2WD 모던,3.0,98318.0,2.0,1.0,9.7,175.0,46.0,0.0,3.0,0.0,1750.0
181,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 디럭스,14.0,185354.0,2.0,1.0,11.6,174.0,41.0,0.0,3.0,0.0,690.0
182,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 디럭스,11.0,198343.0,2.0,1.0,11.6,174.0,41.0,0.0,4.0,0.0,690.0
183,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 디럭스,10.0,143237.0,2.0,1.0,11.6,174.0,41.0,0.0,7.0,0.0,860.0
184,현대 그랜드스타렉스 어린이보호차 디젤 12인승 2WD,12.0,133016.0,2.0,1.0,10.5,175.0,46.0,0.0,2.0,0.0,669.0
185,현대 그랜드스타렉스 어린이보호차 디젤 12인승 2WD,11.0,78545.0,2.0,1.0,10.5,175.0,46.0,0.0,2.0,0.0,799.0
186,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스마트,4.0,133078.0,2.0,1.0,9.3,175.0,46.0,0.0,5.0,0.0,1490.0
187,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD  CVX 럭셔리,8.0,180000.0,2.0,1.0,11.6,174.0,41.0,0.0,6.0,0.0,790.0
189,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 3인승  스마트,3.0,145000.0,2.0,1.0,9.3,175.0,46.0,0.0,4.0,0.0,1420.0
194,현대 그랜드스타렉스  어린이보호차 디젤 12인승 4WD   ,7.0,124290.0,2.0,1.0,10.5,175.0,46.0,1.0,0.0,0.0,1495.0
200,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 럭셔리   ,6.0,95000.0,2.0,0.0,11.6,174.0,41.0,0.0,2.0,0.0,980.0
201,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 럭셔리,10.0,194857.0,2.0,1.0,11.6,174.0,41.0,0.0,2.0,0.0,750.0
203,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD  CVX 럭셔리,13.0,129658.0,2.0,1.0,11.6,174.0,41.0,0.0,0.0,0.0,730.0
206,현대 그랜드스타렉스 2.5 디젤 밴 3인승 2WD CVX 디럭스,13.0,158285.0,2.0,1.0,11.6,174.0,41.0,0.0,4.0,0.0,360.0
207,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승  스마트,5.0,85966.0,2.0,1.0,9.3,175.0,46.0,0.0,2.0,0.0,1420.0
211,현대 뉴스타렉스  2.5 디젤 CRDi 9인승 2WD GRX 고급Ⅰ형   ,16.0,131620.0,2.0,1.0,10.6,145.0,33.0,0.0,0.0,0.0,530.0
213,현대 더 뉴 그랜드스타렉스 2.5 디젤 왜건 11인승 4WD 모던,4.0,101200.0,2.0,1.0,8.9,175.0,46.0,1.0,2.0,0.0,3900.0
214,현대 그랜드스타렉스 어린이보호차 디젤 12인승 2WD,8.0,134708.0,2.0,1.0,10.5,175.0,46.0,0.0,4.0,0.0,600.0
221,현대 더 뉴 그랜드스타렉스  2.5 디젤 밴 5인승 스마트  ,4.0,59075.0,2.0,1.0,9.3,175.0,46.0,0.0,4.0,0.0,1899.0
223,현대 그랜드스타렉스 2.5 디젤 밴 5인승 2WD CVX 디럭스,8.0,172000.0,2.0,0.0,11.6,174.0,41.0,0.0,5.0,0.0,680.0
226,현대 더 뉴 그랜드스타렉스 2.5 디젤 밴 5인승  스타일,5.0,151541.0,2.0,1.0,9.3,175.0,46.0,0.0,5.0,0.0,1380.0
227,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,12.0,81570.0,2.0,1.0,10.5,175.0,46.0,0.0,0.0,0.0,890.0
228,현대 그랜드스타렉스 어린이보호차  디젤 12인승 2WD,10.0,120000.0,2.0,1.0,10.5,175.0,46.0,0.0,2.0,0.0,800.0
231,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,12.0,144777.0,2.0,1.0,10.5,175.0,46.0,0.0,0.0,0.0,799.0
233,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,7.0,101882.0,2.0,1.0,10.5,175.0,46.0,0.0,0.0,0.0,1490.0
234,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,7.0,79834.0,2.0,1.0,10.5,175.0,46.0,0.0,0.0,0.0,1690.0
235,현대 더 뉴 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD 스마트  ,5.0,91749.0,2.0,1.0,9.7,175.0,46.0,0.0,0.0,0.0,1690.0
236,현대 그랜드스타렉스  2.5 디젤 밴 3인승 2WD CVX 디럭스   ,10.0,217478.0,2.0,1.0,11.6,174.0,41.0,0.0,0.0,0.0,799.0
239,현대 뉴스타렉스  점보 2.5 디젤 CRDi 12인승 2WD GRX 고급형   ,15.0,161524.0,2.0,1.0,10.0,145.0,33.0,0.0,0.0,0.0,499.0
240,현대 그랜드스타렉스  2.5 디젤 왜건 11인승 2WD CVX 럭셔리   ,9.0,134409.0,2.0,1.0,11.5,174.0,41.0,0.0,0.0,0.0,1250.0
242,현대 그랜드스타렉스  어린이보호차 디젤 12인승 2WD   ,6.0,112153.0,2.0,1.0,10.5,175.0,46.0,0.0,0.0,0.0,1590.0
362,현대 쏘나타 2.0  인스퍼레이션,4.0,53390.0,1.0,1.0,13.0,160.0,20.0,0.0,1.0,0.0,2360.0
363,현대 쏘나타 뉴 라이즈 하이브리드 2.0 HEV 프리미엄,4.0,60963.0,1.0,1.0,17.4,191.0,27.0,0.0,0.0,0.0,1999.0
364,현대 쏘나타 2.0 인스퍼레이션,4.0,47641.0,1.0,1.0,13.0,160.0,20.0,0.0,0.0,0.0,2450.0
365,현대 쏘나타 1.6 터보 프리미엄 패밀리,2.0,37065.0,1.0,1.0,13.7,180.0,27.0,0.0,2.0,0.0,2320.0
366,현대 쏘나타 2.0  인스퍼레이션,4.0,29445.0,1.0,1.0,13.0,160.0,20.0,0.0,1.0,0.0,2620.0
367,현대 쏘나타 2.0  인스퍼레이션,3.0,54916.0,1.0,1.0,13.0,160.0,20.0,0.0,5.0,0.0,2450.0
368,현대 쏘나타 하이브리드 2.0 HEV  스마트,9.0,114000.0,1.0,1.0,16.8,191.0,27.0,0.0,9.0,0.0,450.0
369,현대 YF쏘나타 2.0 CVVL  프리미어,11.0,110000.0,1.0,1.0,14.0,172.0,20.5,0.0,6.0,0.0,350.0
370,현대 LF쏘나타  2.0 LPi  스마트   ,6.0,141231.0,0.0,1.0,9.5,151.0,19.8,0.0,0.0,0.0,950.0
372,현대 YF쏘나타 2.0 LPi 탑,12.0,99337.0,0.0,1.0,10.5,157.0,20.0,0.0,10.0,0.0,450.0
373,현대 YF쏘나타 2.0 VVT Y20 프리미어 최고급형,13.0,109660.0,1.0,1.0,12.8,165.0,20.2,0.0,2.0,0.0,380.0
374,현대 YF쏘나타 2.0 LPi 프리미어,12.0,128318.0,0.0,1.0,10.5,157.0,20.0,0.0,4.0,0.0,450.0
375,현대 쏘나타 뉴 라이즈  2.0 스마트 초이스   ,4.0,28891.0,1.0,1.0,12.0,163.0,20.0,0.0,0.0,0.0,1630.0
376,현대 NF쏘나타 트랜스폼 2.0 LPi 럭셔리,15.0,180787.0,0.0,1.0,9.0,141.0,19.0,0.0,3.0,0.0,250.0
377,현대 YF쏘나타 2.0 VVT  Y20 프리미어 최고급형,13.0,69194.0,1.0,1.0,12.8,165.0,20.2,0.0,7.0,0.0,550.0
380,현대 쏘나타 2.0  인스퍼레이션,4.0,53390.0,1.0,1.0,13.0,160.0,20.0,0.0,1.0,0.0,2360.0
381,현대 쏘나타 뉴 라이즈 하이브리드 2.0 HEV 프리미엄,4.0,60963.0,1.0,1.0,17.4,191.0,27.0,0.0,0.0,0.0,1999.0
382,현대 쏘나타 2.0 인스퍼레이션,4.0,47641.0,1.0,1.0,13.0,160.0,20.0,0.0,0.0,0.0,2450.0
383,현대 쏘나타 1.6 터보 프리미엄 패밀리,2.0,37065.0,1.0,1.0,13.7,180.0,27.0,0.0,2.0,0.0,2320.0
384,현대 쏘나타 2.0  인스퍼레이션,4.0,29445.0,1.0,1.0,13.0,160.0,20.0,0.0,1.0,0.0,2620.0
385,현대 쏘나타 2.0  인스퍼레이션,3.0,54916.0,1.0,1.0,13.0,160.0,20.0,0.0,5.0,0.0,2450.0
386,현대 쏘나타 하이브리드 2.0 HEV  스마트,9.0,114000.0,1.0,1.0,16.8,191.0,27.0,0.0,9.0,0.0,450.0
387,현대 YF쏘나타 2.0 CVVL  프리미어,11.0,110000.0,1.0,1.0,14.0,172.0,20.5,0.0,6.0,0.0,350.0
388,현대 LF쏘나타  2.0 LPi  스마트   ,6.0,141231.0,0.0,1.0,9.5,151.0,19.8,0.0,0.0,0.0,950.0
390,현대 YF쏘나타 2.0 LPi 탑,12.0,99337.0,0.0,1.0,10.5,157.0,20.0,0.0,10.0,0.0,450.0
391,현대 YF쏘나타 2.0 VVT Y20 프리미어 최고급형,13.0,109660.0,1.0,1.0,12.8,165.0,20.2,0.0,2.0,0.0,380.0
392,현대 YF쏘나타 2.0 LPi 프리미어,12.0,128318.0,0.0,1.0,10.5,157.0,20.0,0.0,4.0,0.0,450.0
393,현대 쏘나타 뉴 라이즈  2.0 스마트 초이스   ,4.0,28891.0,1.0,1.0,12.0,163.0,20.0,0.0,0.0,0.0,1630.0
394,현대 NF쏘나타 트랜스폼 2.0 LPi 럭셔리,15.0,180787.0,0.0,1.0,9.0,141.0,19.0,0.0,3.0,0.0,250.0
395,현대 YF쏘나타 2.0 VVT  Y20 프리미어 최고급형,13.0,69194.0,1.0,1.0,12.8,165.0,20.2,0.0,7.0,0.0,550.0
396,현대 YF쏘나타 2.0 LPi 탑,13.0,169000.0,0.0,1.0,10.5,157.0,20.0,0.0,3.0,0.0,330.0
397,현대 LF쏘나타 1.7 디젤 스마트,7.0,128000.0,2.0,1.0,16.5,141.0,34.7,0.0,2.0,0.0,999.0
398,현대 LF쏘나타  2.0 스마트,8.0,147290.0,1.0,1.0,12.1,168.0,20.5,0.0,2.0,0.0,850.0
399,현대 쏘나타 더 브릴리언트 2.0 LPi 스타일,9.0,254412.0,0.0,1.0,9.3,157.0,20.0,0.0,7.0,0.0,300.0
400,현대 YF쏘나타 2.0 LPi  프리미어,13.0,136830.0,0.0,1.0,10.5,157.0,20.0,0.0,3.0,0.0,450.0
401,현대 YF쏘나타 2.0 VVT  Y20 프리미어 고급형,13.0,118194.0,1.0,1.0,12.8,165.0,20.2,0.0,1.0,0.0,370.0
403,현대 LF쏘나타 2.0 스마트,8.0,93881.0,1.0,1.0,12.1,168.0,20.5,0.0,1.0,0.0,730.0
404,현대 LF쏘나타 2.0 스마트,8.0,69270.0,1.0,1.0,12.1,168.0,20.5,0.0,8.0,0.0,799.0
405,현대 LF쏘나타 2.0  스마트 스페셜,7.0,154023.0,1.0,1.0,12.6,168.0,20.5,0.0,9.0,0.0,790.0
406,현대 쏘나타 뉴 라이즈 2.0 스마트 스페셜,4.0,84122.0,1.0,1.0,12.0,163.0,20.0,0.0,3.0,0.0,1199.0
407,현대 LF쏘나타 2.0 스마트 스페셜,7.0,59678.0,1.0,1.0,12.6,168.0,20.5,0.0,5.0,0.0,1099.0
408,현대 쏘나타 뉴 라이즈  2.0 모던   ,5.0,118365.0,1.0,1.0,12.0,163.0,20.0,0.0,5.0,0.0,1149.0
409,현대 쏘나타 뉴 라이즈 2.0 LPi  스마트,4.0,73342.0,0.0,1.0,9.5,151.0,19.8,0.0,0.0,0.0,1490.0
412,현대 쏘나타 뉴 라이즈  2.0 스마트  ,5.0,111627.0,1.0,1.0,12.0,163.0,20.0,0.0,0.0,0.0,1092.0
413,현대 YF쏘나타 2.0 VVT  Y20 탑 최고급형,13.0,138060.0,1.0,1.0,12.8,165.0,20.2,0.0,5.0,0.0,350.0
415,현대 쏘나타 뉴 라이즈 2.0  스마트 초이스,4.0,102193.0,1.0,1.0,12.0,163.0,20.0,0.0,1.0,0.0,1270.0
416,현대 LF쏘나타  2.0 스마트   ,8.0,17705.0,1.0,1.0,12.1,168.0,20.5,0.0,0.0,0.0,1380.0
417,현대 YF쏘나타 2.0 LPi 프리미어,12.0,135500.0,0.0,1.0,10.5,157.0,20.0,0.0,4.0,0.0,510.0
418,현대 NF쏘나타 트랜스폼 2.0 디럭스,14.0,53835.0,1.0,1.0,12.8,163.0,20.1,0.0,2.0,0.0,350.0
419,현대 LF쏘나타 2.0  스타일,6.0,134621.0,1.0,1.0,12.6,168.0,20.5,0.0,3.0,0.0,490.0
420,현대 쏘나타 뉴 라이즈 2.0 스타일,5.0,97592.0,1.0,1.0,12.3,163.0,20.0,0.0,3.0,0.0,1050.0
422,현대 YF쏘나타 2.0 LPi  프리미어,13.0,160337.0,0.0,1.0,10.5,157.0,20.0,0.0,6.0,0.0,300.0
423,현대 쏘나타 더 브릴리언트  2.0 모던   ,10.0,134879.0,1.0,1.0,14.0,172.0,20.5,0.0,0.0,0.0,869.0
424,현대 쏘나타 뉴 라이즈 2.0 LPi 모던,5.0,93800.0,0.0,1.0,9.5,151.0,19.8,0.0,1.0,0.0,1029.0
425,현대 NF쏘나타 트랜스폼 2.0 LPi  일반형,14.0,115000.0,0.0,1.0,9.0,141.0,19.0,0.0,3.0,0.0,190.0
426,현대 쏘나타 2.0 프리미엄,3.0,48459.0,1.0,1.0,12.9,160.0,20.0,0.0,1.0,0.0,1770.0
427,현대 쏘나타 뉴 라이즈 2.0 모던,5.0,119911.0,1.0,1.0,12.0,163.0,20.0,0.0,5.0,0.0,950.0
428,현대 쏘나타 뉴 라이즈 2.0 모던,5.0,93000.0,1.0,1.0,12.0,163.0,20.0,0.0,0.0,0.0,1300.0
430,현대 LF쏘나타 2.0 LPi 프리미엄 스페셜,8.0,164000.0,0.0,1.0,9.6,151.0,19.8,0.0,6.0,0.0,980.0
431,현대 YF쏘나타 2.0 CVVL 프리미어,10.0,127000.0,1.0,1.0,14.0,172.0,20.5,0.0,3.0,0.0,600.0
433,현대 쏘나타 2.0 LPi 스마트,1.0,135977.0,0.0,1.0,10.3,146.0,19.5,0.0,1.0,0.0,150.0
436,현대 더 뉴 아반떼AD 1.6  프리미엄,4.0,58150.0,1.0,1.0,14.4,123.0,15.7,0.0,2.0,0.0,1690.0
442,현대 아반떼MD  1.6 M16 프리미어,11.0,166691.0,1.0,1.0,16.5,140.0,17.0,0.0,7.0,0.0,420.0
443,현대 아반떼AD  1.6 LPi 스마트,5.0,78462.0,0.0,1.0,10.6,120.0,15.5,0.0,0.0,0.0,820.0
444,현대 올 뉴 아반떼  1.6 LPi 스타일,1.0,62443.0,0.0,1.0,10.6,120.0,15.5,0.0,0.0,0.0,1270.0
445,현대 더 뉴 아반떼AD  1.6 스타일   ,4.0,80256.0,1.0,1.0,15.2,123.0,15.7,0.0,0.0,0.0,1269.0
447,현대 아반떼AD 1.6 터보 스포츠 DCT,6.0,137560.0,1.0,1.0,12.0,204.0,26.9,0.0,7.0,0.0,900.0
448,현대 아반떼MD 1.6 M16 탑 스마트 팩,11.0,74000.0,1.0,1.0,17.5,140.0,17.0,0.0,3.0,0.0,530.0
449,현대 아반떼AD 1.6  밸류 플러스,5.0,119106.0,1.0,1.0,13.1,132.0,16.3,0.0,3.0,0.0,799.0
451,현대 아반떼AD 1.6  모던,6.0,138992.0,1.0,1.0,13.7,132.0,16.3,0.0,4.0,0.0,880.0
452,현대 아반떼AD  1.6 LPi 스마트,4.0,146100.0,0.0,1.0,10.6,120.0,15.5,0.0,4.0,0.0,840.0
455,현대 더 뉴 아반떼AD 1.6  프리미엄,4.0,58150.0,1.0,1.0,14.4,123.0,15.7,0.0,2.0,0.0,1690.0
461,현대 아반떼MD  1.6 M16 프리미어,11.0,166691.0,1.0,1.0,16.5,140.0,17.0,0.0,7.0,0.0,420.0
462,현대 아반떼AD  1.6 LPi 스마트,5.0,78462.0,0.0,1.0,10.6,120.0,15.5,0.0,0.0,0.0,820.0
463,현대 올 뉴 아반떼  1.6 LPi 스타일,1.0,62443.0,0.0,1.0,10.6,120.0,15.5,0.0,0.0,0.0,1270.0
464,현대 더 뉴 아반떼AD  1.6 스타일   ,4.0,80256.0,1.0,1.0,15.2,123.0,15.7,0.0,0.0,0.0,1269.0
466,현대 아반떼AD 1.6 터보 스포츠 DCT,6.0,137560.0,1.0,1.0,12.0,204.0,26.9,0.0,7.0,0.0,900.0
467,현대 아반떼MD 1.6 M16 탑 스마트 팩,11.0,74000.0,1.0,1.0,17.5,140.0,17.0,0.0,3.0,0.0,530.0
468,현대 아반떼AD 1.6  밸류 플러스,5.0,119106.0,1.0,1.0,13.1,132.0,16.3,0.0,3.0,0.0,799.0
470,현대 아반떼AD 1.6  모던,6.0,138992.0,1.0,1.0,13.7,132.0,16.3,0.0,4.0,0.0,880.0
471,현대 아반떼AD  1.6 LPi 스마트,4.0,146100.0,0.0,1.0,10.6,120.0,15.5,0.0,4.0,0.0,840.0
472,현대 아반떼AD  1.6 밸류 플러스,4.0,96000.0,1.0,1.0,13.1,132.0,16.3,0.0,5.0,0.0,920.0
473,현대 더 뉴 아반떼AD 1.6 LPi   스타일,3.0,107240.0,0.0,1.0,10.6,120.0,15.5,0.0,0.0,0.0,970.0
474,현대 더 뉴 아반떼AD 1.6 스타일,3.0,55020.0,1.0,1.0,15.2,123.0,15.7,0.0,3.0,0.0,1260.0
475,현대 더 뉴 아반떼 1.6 스마트,8.0,49021.0,1.0,1.0,14.0,140.0,16.9,0.0,2.0,0.0,860.0
476,현대 아반떼 LPi 하이브리드 1.6 HDE Ⅱ기본형,9.0,37455.0,0.0,1.0,17.8,114.0,15.1,0.0,0.0,0.0,860.0
477,현대 아반떼 LPi 하이브리드 1.6 HDE Ⅱ기본형,9.0,34585.0,0.0,1.0,17.8,114.0,15.1,0.0,1.0,0.0,860.0
478,현대 아반떼MD 1.6 M16 프리미어,12.0,98119.0,1.0,1.0,16.5,140.0,17.0,0.0,4.0,0.0,480.0
479,현대 아반떼AD 1.6 모던,6.0,109725.0,1.0,1.0,13.7,132.0,16.3,0.0,6.0,0.0,770.0
482,현대 아반떼MD 1.6  M16 탑,12.0,90946.0,1.0,1.0,16.5,140.0,16.9,0.0,8.0,0.0,499.0
483,현대 아반떼AD 1.6 모던,7.0,112661.0,1.0,1.0,13.7,132.0,16.3,0.0,4.0,0.0,699.0
484,현대 아반떼AD 1.6 스마트,7.0,85279.0,1.0,1.0,13.7,132.0,16.3,0.0,1.0,0.0,1060.0
485,현대 아반떼AD 1.6  밸류 플러스,4.0,72896.0,1.0,1.0,13.1,132.0,16.3,0.0,2.0,0.0,860.0
486,현대 아반떼AD 1.6  밸류 플러스,6.0,100673.0,1.0,1.0,13.1,132.0,16.3,0.0,9.0,0.0,799.0
487,현대 아반떼AD 1.6 스마트 스페셜,6.0,69718.0,1.0,1.0,13.7,132.0,16.3,0.0,3.0,0.0,799.0
488,현대 아반떼AD 1.6  스마트 스페셜,7.0,59362.0,1.0,1.0,13.7,132.0,16.3,0.0,10.0,0.0,700.0
489,현대 올 뉴 아반떼 1.6 모던,2.0,36852.0,1.0,1.0,15.4,123.0,15.7,0.0,2.0,0.0,1960.0
490,현대 올 뉴 아반떼 1.6 LPi 모던,3.0,78344.0,0.0,1.0,10.5,120.0,15.5,0.0,0.0,0.0,1650.0
492,현대 더 뉴 아반떼 1.6 프리미엄,9.0,100863.0,1.0,1.0,14.0,140.0,16.9,0.0,9.0,0.0,890.0
493,현대 아반떼AD 1.6 밸류 플러스,4.0,85800.0,1.0,1.0,13.1,132.0,16.3,0.0,4.0,0.0,990.0
495,현대 더 뉴 아반떼 1.6  모던,8.0,104326.0,1.0,1.0,14.0,140.0,16.9,0.0,5.0,0.0,680.0
497,현대 아반떼AD 1.6 터보 스포츠  DCT,7.0,137500.0,1.0,1.0,12.0,204.0,26.9,0.0,3.0,0.0,990.0
498,현대 아반떼 쿠페 2.0  스마트,9.0,77653.0,1.0,1.0,12.4,175.0,21.3,0.0,3.0,0.0,590.0
499,현대 더 뉴 아반떼 1.6  모던,9.0,94578.0,1.0,1.0,14.0,140.0,16.9,0.0,6.0,0.0,699.0
500,현대 올 뉴 아반떼 1.6  인스퍼레이션,2.0,46241.0,1.0,1.0,14.9,123.0,15.7,0.0,2.0,0.0,2099.0
501,현대 올 뉴 아반떼 1.6 터보  N 라인 인스퍼레이션,2.0,77767.0,1.0,1.0,12.8,204.0,27.0,0.0,1.0,0.0,2170.0
502,현대 아반떼AD 1.6  모던 스페셜,7.0,133841.0,1.0,1.0,13.1,132.0,16.3,0.0,7.0,0.0,870.0
503,현대 올 뉴 아반떼 1.6  모던,2.0,57628.0,1.0,1.0,15.4,123.0,15.7,0.0,3.0,0.0,1790.0
506,현대 제네시스 BH330  럭셔리 프라임팩,15.0,101040.0,1.0,1.0,10.0,262.0,32.1,0.0,2.0,1.0,699.0
518,현대 제네시스 쿠페 2.0 터보 R,12.0,160000.0,1.0,1.0,11.0,210.0,30.5,0.0,3.0,1.0,370.0
522,현대 제네시스 쿠페 2.0 터보 P,12.0,83127.0,1.0,1.0,11.0,210.0,30.5,0.0,4.0,1.0,450.0
524,현대 제네시스 BH330  럭셔리 프라임팩,15.0,101040.0,1.0,1.0,10.0,262.0,32.1,0.0,2.0,1.0,699.0
536,현대 제네시스 쿠페 2.0 터보 R,12.0,160000.0,1.0,1.0,11.0,210.0,30.5,0.0,3.0,1.0,370.0
540,현대 제네시스 쿠페 2.0 터보 P,12.0,83127.0,1.0,1.0,11.0,210.0,30.5,0.0,4.0,1.0,450.0
543,현대 제네시스 BH330  그랜드,13.0,158047.0,1.0,1.0,10.0,262.0,32.1,0.0,4.0,1.0,480.0
548,현대 제네시스 쿠페 2.0 터보 RW,13.0,129554.0,1.0,0.0,11.0,210.0,30.5,0.0,1.0,1.0,1250.0
554,현대 제네시스 쿠페 2.0 터보 R,14.0,201949.0,1.0,0.0,11.0,210.0,30.5,0.0,4.0,1.0,450.0
555,현대 제네시스 BH330  그랜드,13.0,201864.0,1.0,1.0,10.0,262.0,32.1,0.0,6.0,1.0,330.0
559,현대 더 뉴 싼타페 하이브리드 1.6 터보 HEV 2WD 캘리그래피 5인승,1.0,37232.0,1.0,1.0,14.3,230.0,35.7,0.0,0.0,0.0,3900.0
560,현대 싼타페TM 2.0 가솔린 터보 2WD  인스퍼레이션,4.0,57783.0,1.0,1.0,9.5,235.0,36.0,0.0,2.0,0.0,2699.0
561,현대 싼타페TM 2.0 가솔린 터보 2WD  인스퍼레이션,3.0,40644.0,1.0,1.0,9.5,235.0,36.0,0.0,2.0,0.0,2260.0
562,현대 싼타페DM 2.0 디젤 2WD 익스클루시브,10.0,98100.0,2.0,1.0,14.4,184.0,41.0,0.0,4.0,0.0,1200.0
563,현대 싼타페DM  2.0 디젤 2WD 익스클루시브   ,9.0,124281.0,2.0,1.0,14.4,184.0,41.0,0.0,0.0,0.0,1490.0
564,현대 싼타페TM  2.0 디젤 2WD 프리미엄,4.0,124258.0,2.0,1.0,13.8,186.0,41.0,0.0,4.0,0.0,1750.0
565,현대 싼타페DM  2.0 디젤 2WD 프리미엄,9.0,164445.0,2.0,1.0,14.4,184.0,41.0,0.0,4.0,0.0,860.0
567,현대 싼타페DM 2.0 디젤 2WD 프리미엄,9.0,92593.0,2.0,1.0,14.4,184.0,41.0,0.0,6.0,0.0,920.0
