,model,year,distance,fuel,auto,efficiency,max_power,max_toque,method,insurance,is_genesis,price
1037,기아 더 뉴 쏘렌토 2.2 디젤 2WD  노블레스,1.0,23571.0,2.0,1.0,13.6,202.0,45.0,0.0,1.0,0.0,3400.0
1038,기아 올 뉴 쏘렌토 2.0 디젤 2WD 럭셔리,8.0,72350.0,2.0,1.0,13.5,186.0,41.0,0.0,2.0,0.0,1399.0
1039,기아 뉴 쏘렌토R 2.0 디젤 2WD TLX,10.0,62204.0,2.0,1.0,14.4,184.0,41.0,0.0,5.0,0.0,1160.0
1040,기아 쏘렌토R 2.0 디젤 2WD TLX 최고급형,11.0,30581.0,2.0,1.0,15.0,184.0,40.0,0.0,5.0,0.0,960.0
1042,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 4WD 프레스티지,1.0,22566.0,4.0,1.0,15.3,230.0,35.7,1.0,0.0,0.0,1000.0
1043,기아 더 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,5.0,56684.0,2.0,1.0,13.1,186.0,41.0,0.0,1.0,0.0,1750.0
1044,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD  노블레스,2.0,33951.0,1.0,1.0,15.3,230.0,35.7,0.0,1.0,0.0,3799.0
1045,기아 올 뉴 쏘렌토 2.2 디젤 4WD 프레스티지,8.0,146482.0,2.0,1.0,12.0,202.0,45.0,1.0,5.0,0.0,1299.0
1046,기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 시그니처,2.0,22000.0,4.0,1.0,15.3,230.0,35.7,0.0,0.0,0.0,3830.0
1047,기아 올 뉴 쏘렌토 2.2 디젤 2WD  노블레스 스페셜,7.0,194000.0,2.0,1.0,12.4,202.0,45.0,0.0,1.0,0.0,1370.0
1048,기아 쏘렌토R 2.0 디젤 2WD TLX 프리미엄,13.0,114235.0,2.0,1.0,15.0,184.0,40.0,0.0,1.0,0.0,650.0
